Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (costo por clic en el enlace);CTR (porcentaje de clics en el enlace);ROAS;Tasa de resultados;Clics (todos);CPC (todos);CTR (todos);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado;;;;;;;;
35-44;female;52992;67453;1.27;52;16.22;843.43;12.50401888;856;0.985;1.269;2.02;0.077090715;1626;0.519;2.41;44;277;23012;128;1702.61;199;4.24;;;;;;;;
35-44;female;42048;53027;1.26;34;23.29;791.84;14.93272013;771;1.027;1.454;1.36;0.064118279;1363;0.581;2.57;43;226;19689;91;1076.29;144;5.50;;;;;;;;
35-44;female;37280;45775;1.23;42;17.93;752.98;16.44959039;746;1.009;1.630;1.84;0.09175314;1185;0.635;2.59;23;235;17377;111;1388.13;165;4.56;;;;;;;;
45-54;female;25440;30149;1.19;40;18.55;742.16;24.61640519;635;1.169;2.106;1.78;0.132674384;1079;0.688;3.58;12;239;13208;81;1321.8;156;4.76;;;;;;;;
45-54;female;23232;30606;1.32;36;19.76;711.50;23.24700198;663;1.073;2.166;1.98;0.117623995;1119;0.636;3.66;13;177;12484;50;1412.28;130;5.47;;;;;;;;
35-44;female;32416;43161;1.33;42;16.68;700.62;16.23265504;700;1.001;1.622;1.95;0.097310072;1251;0.560;2.90;31;180;14781;57;1364.12;182;3.85;;;;;;;;
25-34;female;46208;59761;1.29;36;19.43;699.64;11.70726158;800;0.875;1.339;1.60;0.060239956;1583;0.442;2.65;41;197;20065;88;1122.12;175;4.00;;;;;;;;
25-34;female;44288;52411;1.18;45;14.87;669.32;12.77060159;649;1.031;1.238;2.21;0.085859839;1118;0.599;2.13;33;222;18460;162;1479.43;137;4.89;;;;;;;;
45-54;female;24672;29519;1.20;33;19.48;642.71;21.77268368;630;1.020;2.134;1.63;0.111792405;1011;0.636;3.42;17;201;12625;61;1049.85;117;5.49;;;;;;;;
45-54;female;26176;34170;1.31;29;20.41;592.02;17.32559256;596;0.993;1.744;1.56;0.084869769;1062;0.557;3.11;24;214;13950;77;921.95;106;5.59;;;;;;;;
25-34;female;41440;55992;1.35;27;21.68;585.38;10.45462831;641;0.913;1.145;1.48;0.048221174;1399;0.418;2.50;51;185;17405;87;864.85;120;4.88;;;;;;;;
25-34;female;33792;42708;1.26;39;13.36;521.10;12.20135971;530;0.983;1.241;2.37;0.091317786;1049;0.497;2.46;21;121;12844;53;1233.88;124;4.20;;;;;;;;
25-34;female;31680;41024;1.29;19;26.32;499.99;12.18774376;468;1.068;1.141;1.23;0.046314353;1011;0.495;2.46;35;142;13860;99;613.48;80;6.25;;;;;;;;
35-44;female;24848;32064;1.29;21;22.25;467.31;14.57428892;410;1.140;1.279;1.41;0.065494012;768;0.608;2.40;23;142;11413;61;658.32;81;5.77;;;;;;;;
55-64;female;10432;12104;1.16;27;15.96;430.96;35.60475876;393;1.097;3.247;2.06;0.223066755;615;0.701;5.08;9;95;6132;33;887.84;79;5.46;;;;;;;;
55-64;female;11552;12738;1.10;19;22.20;421.76;33.11073871;391;1.079;3.070;1.49;0.149159994;632;0.667;4.96;14;85;6062;27;630.49;81;5.21;;;;;;;;
35-44;female;19888;25171;1.27;18;23.25;418.53;16.62746812;390;1.073;1.549;1.44;0.071510866;640;0.654;2.54;15;140;8534;46;601.56;74;5.66;;;;;;;;
55-64;female;9920;11795;1.19;20;18.98;379.65;32.18725983;366;1.037;3.103;1.73;0.169563374;596;0.637;5.05;13;96;5669;30;655.88;68;5.58;;;;;;;;
25-34;female;26592;33454;1.26;17;21.90;372.38;11.1311054;356;1.046;1.064;1.38;0.050816046;855;0.436;2.56;23;128;11115;51;513.64;79;4.71;;;;;;;;
45-54;female;10992;13696;1.25;24;14.74;353.75;25.82870911;319;1.109;2.329;2.21;0.175233645;491;0.720;3.58;12;108;5623;33;783.08;67;5.28;;;;;;;;
25-34;female;20400;26637;1.31;10;34.02;340.23;12.77283478;337;1.010;1.265;1.01;0.037541765;613;0.555;2.30;13;90;7991;51;344.2;63;5.40;;;;;;;;
35-44;female;17712;23883;1.35;23;14.61;335.93;14.06565339;356;0.944;1.491;2.11;0.09630281;708;0.474;2.96;15;125;8330;47;708.16;82;4.10;;;;;;;;
35-44;female;15536;16651;1.07;11;25.02;275.24;16.52993814;205;1.343;1.231;1.40;0.066062098;306;0.899;1.84;6;43;5981;13;384.12;44;6.26;;;;;;;;
35-44;female;14552;15525;1.07;14;19.21;268.99;17.32624799;211;1.275;1.359;1.82;0.090177134;341;0.789;2.20;6;52;5565;21;488.88;32;8.41;;;;;;;;
35-44;female;14480;15073;1.04;13;20.40;265.20;17.59437405;205;1.294;1.360;1.85;0.086246932;334;0.794;2.22;6;47;5574;16;489.96;45;5.89;;;;;;;;
45-54;female;10544;12846;1.22;16;16.07;257.13;20.0163475;214;1.202;1.666;2.05;0.12455239;364;0.706;2.83;5;70;5222;29;526.2;57;4.51;;;;;;;;
35-44;female;14104;15396;1.09;9;28.38;255.41;16.58937386;192;1.330;1.247;1.30;0.058456742;274;0.932;1.78;2;36;5498;16;332.28;30;8.51;;;;;;;;
35-44;female;13840;14878;1.08;9;28.35;255.17;17.15082672;172;1.484;1.156;1.30;0.060492002;254;1.005;1.71;2;58;5510;18;332.28;31;8.23;;;;;;;;
55-64;female;8448;10503;1.24;14;17.98;251.76;23.97011191;279;0.902;2.656;1.76;0.133295249;465;0.541;4.43;7;81;4971;22;443.88;46;5.47;;;;;;;;
35-44;female;14816;18312;1.24;15;15.82;237.32;12.95980778;239;0.993;1.305;2.15;0.081913499;424;0.560;2.32;8;128;7255;65;511.28;47;5.05;;;;;;;;
25-34;female;15440;16866;1.09;12;19.36;232.33;13.7750504;152;1.528;0.901;1.95;0.071149057;248;0.937;1.47;3;27;5529;22;452.04;33;7.04;;;;;;;;
45-54;female;8960;11024;1.23;14;16.01;224.11;20.32928157;214;1.047;1.941;2.00;0.126995646;411;0.545;3.73;7;83;4293;27;448.88;52;4.31;;;;;;;;
35-44;female;12104;12945;1.07;11;20.36;223.93;17.29857088;180;1.244;1.390;1.72;0.084974894;290;0.772;2.24;3;39;4582;15;384.12;29;7.72;;;;;;;;
25-34;female;14704;15403;1.05;2;109.04;218.07;14.15763163;167;1.306;1.084;0.32;0.012984484;252;0.865;1.64;4;39;5355;24;69.84;18;12.12;;;;;;;;
25-34;female;14368;15766;1.10;8;27.18;217.43;13.79106939;114;1.907;0.723;1.28;0.050742103;199;1.093;1.26;2;38;5228;27;279.36;32;6.79;;;;;;;;
65+;female;4224;5095;1.21;19;11.23;213.41;41.8861629;220;0.970;4.318;3.03;0.372914622;337;0.633;6.61;1;40;2677;19;646.48;48;4.45;;;;;;;;
25-34;female;13776;14873;1.08;10;21.32;213.23;14.33671754;172;1.240;1.156;1.79;0.067235931;267;0.799;1.80;5;37;4984;19;382.2;35;6.09;;;;;;;;
45-54;female;9104;9608;1.06;10;20.88;208.78;21.72980849;159;1.313;1.655;1.64;0.104079933;258;0.809;2.69;3;35;4249;9;343.21;31;6.73;;;;;;;;
45-54;female;8000;8582;1.07;12;17.05;204.55;23.83477045;171;1.196;1.993;2.05;0.139827546;262;0.781;3.05;2;45;4043;11;419.04;28;7.31;;;;;;;;
25-34;female;13880;14997;1.08;18;11.29;203.25;13.55271054;162;1.255;1.080;3.51;0.120024005;260;0.782;1.73;5;31;4968;31;712.51;40;5.08;;;;;;;;
45-54;female;8096;8553;1.06;6;31.70;190.20;22.23781129;136;1.399;1.590;1.10;0.070150824;215;0.885;2.51;3;30;3750;6;209.52;18;10.57;;;;;;;;
25-34;female;14544;17440;1.20;10;18.97;189.69;10.87672018;180;1.054;1.032;1.71;0.05733945;318;0.597;1.82;13;89;6289;52;324.2;39;4.86;;;;;;;;
45-54;female;7392;8494;1.15;11;17.19;189.14;22.26748293;139;1.361;1.636;2.22;0.129503179;215;0.880;2.53;4;24;3851;10;420.12;25;7.57;;;;;;;;
45-54;female;8064;8466;1.05;9;20.69;186.19;21.99267659;151;1.233;1.784;1.78;0.106307583;236;0.789;2.79;2;45;3797;16;332.28;26;7.16;;;;;;;;
18-24;female;18240;23459;1.29;12;15.45;185.40;7.90312373;260;0.713;1.108;1.99;0.051153076;586;0.316;2.50;7;45;6844;20;369.05;49;3.78;;;;;;;;
45-54;female;7472;7784;1.04;9;20.38;183.38;23.55858171;131;1.400;1.683;1.71;0.115621788;208;0.882;2.67;1;27;3530;9;314.28;17;10.79;;;;;;;;
55-64;female;4032;4930;1.22;10;18.34;183.36;37.19269777;141;1.300;2.860;2.18;0.202839757;244;0.751;4.95;9;49;2201;16;399.15;33;5.56;;;;;;;;
35-44;female;10792;11430;1.06;7;25.41;177.90;15.56443636;170;1.046;1.487;1.35;0.061242345;229;0.777;2.00;;49;5412;41;239.44;29;6.13;;;;;;;;
25-34;female;11432;12422;1.09;8;22.02;176.16;14.18129126;108;1.631;0.869;1.56;0.064401868;175;1.007;1.41;4;19;3976;13;274.87;28;6.29;;;;;;;;
25-34;female;13656;15770;1.15;15;11.65;174.81;11.08497146;158;1.106;1.002;2.71;0.095117311;351;0.498;2.23;17;55;5378;32;473.8;32;5.46;;;;;;;;
35-44;female;10288;11976;1.16;6;28.09;168.55;14.0739813;171;0.986;1.428;1.15;0.0501002;297;0.568;2.48;9;68;4517;32;194.52;27;6.24;;;;;;;;
65+;female;3968;5029;1.27;13;12.75;165.77;32.96270538;166;0.999;3.301;2.40;0.258500696;275;0.603;5.47;5;32;2442;10;397.96;43;3.86;;;;;;;;
65+;female;3808;4642;1.22;10;15.74;157.38;33.90385882;144;1.093;3.102;2.09;0.215424386;255;0.617;5.49;3;33;2245;13;329.21;30;5.25;;;;;;;;
18-24;female;14688;18756;1.28;5;31.34;156.71;8.355193;188;0.834;1.002;0.93;0.026658136;459;0.341;2.45;11;59;5556;20;145.62;34;4.61;;;;;;;;
25-34;female;11128;12698;1.14;9;17.11;154.00;12.12810273;145;1.062;1.142;1.85;0.070877304;251;0.614;1.98;4;44;5127;20;284.28;32;4.81;;;;;;;;
18-24;female;11520;14931;1.30;5;30.46;152.31;10.20092425;153;0.995;1.025;1.11;0.033487375;306;0.498;2.05;6;72;4911;37;169.6;29;5.25;;;;;;;;
45-54;female;6912;8330;1.21;6;25.20;151.19;18.15006002;155;0.975;1.861;1.37;0.072028812;221;0.684;2.65;6;74;3783;22;207;28;5.40;;;;;;;;
18-24;female;12896;17133;1.33;4;35.11;140.43;8.19646297;162;0.867;0.946;0.85;0.023346758;450;0.312;2.63;5;58;5496;21;119.68;25;5.62;;;;;;;;
35-44;female;7867;7867;1.00;3;45.65;136.95;17.40816067;115;1.191;1.462;0.76;0.038133977;161;0.851;2.05;1;21;3342;8;104.76;12;11.41;;;;;;;;
35-44;female;7912;8403;1.06;7;18.95;132.63;15.7836487;152;0.873;1.809;1.86;0.083303582;230;0.577;2.74;5;40;3144;18;246.92;20;6.63;;;;;;;;
25-34;female;9944;10128;1.02;5;25.26;126.28;12.46840442;110;1.148;1.086;1.18;0.049368088;216;0.585;2.13;9;42;3528;17;149.6;25;5.05;;;;;;;;
35-44;female;6824;8496;1.25;5;25.07;125.37;14.75635593;88;1.425;1.036;1.27;0.058851224;142;0.883;1.67;7;28;2984;18;159.6;12;10.45;;;;;;;;
45-54;female;5624;5968;1.06;10;12.40;124.04;20.78486571;137;0.905;2.296;2.65;0.167560322;176;0.705;2.95;2;27;3551;7;329.2;38;3.26;;;;;;;;
25-34;female;7824;9993;1.28;10;12.28;122.80;12.28860202;135;0.910;1.351;2.68;0.100070049;217;0.566;2.17;8;31;3570;31;329.2;26;4.72;;;;;;;;
35-44;female;6232;6435;1.03;8;14.61;116.87;18.16161616;79;1.479;1.228;2.39;0.124320124;116;1.008;1.80;;23;2588;11;279.36;21;5.57;;;;;;;;
35-44;female;5048;6414;1.27;8;14.60;116.78;18.20678961;112;1.043;1.746;2.05;0.124727159;185;0.631;2.88;7;19;2387;11;239.36;23;5.08;;;;;;;;
55-64;female;3072;3699;1.20;7;16.58;116.03;31.36793728;100;1.160;2.703;1.89;0.189240335;159;0.730;4.30;1;26;1757;10;219.44;15;7.74;;;;;;;;
25-34;female;8816;9108;1.03;7;16.56;115.95;12.73089646;127;0.913;1.394;1.89;0.076855512;216;0.537;2.37;5;27;3115;9;219.44;24;4.83;;;;;;;;
35-44;female;7416;7904;1.07;6;19.16;114.95;14.54326923;115;1.000;1.455;1.69;0.075910931;165;0.697;2.09;3;44;3173;19;194.52;17;6.76;;;;;;;;
25-34;female;7104;7729;1.09;4;28.40;113.61;14.69918489;76;1.495;0.983;1.23;0.051753138;125;0.909;1.62;2;19;2749;15;139.68;23;4.94;;;;;;;;
45-54;female;3576;4321;1.21;7;16.19;113.36;26.2342969;108;1.050;2.499;1.94;0.161999537;187;0.606;4.33;3;25;1890;14;219.44;16;7.08;;;;;;;;
55-64;female;3104;4027;1.30;3;37.68;113.05;28.0730072;92;1.229;2.285;0.93;0.074497144;139;0.813;3.45;3;9;2315;2;104.76;17;6.65;;;;;;;;
45-54;female;4624;4917;1.06;4;27.41;109.62;22.29408176;88;1.246;1.790;1.44;0.081350417;128;0.856;2.60;3;15;2648;7;157.68;14;7.83;;;;;;;;
35-44;female;7040;7245;1.03;3;36.47;109.42;15.10322094;99;1.105;1.366;0.82;0.041407867;168;0.651;2.32;1;26;2680;18;89.76;29;3.77;;;;;;;;
55-64;female;3520;3654;1.04;6;17.72;106.33;29.09961686;83;1.281;2.271;2.28;0.164203612;129;0.824;3.53;2;16;2127;3;242.52;13;8.18;;;;;;;;
18-24;female;8224;12754;1.55;4;26.23;104.91;8.22574421;127;0.826;0.996;1.19;0.03136271;306;0.343;2.40;6;23;3434;14;124.68;22;4.77;;;;;;;;
25-34;female;7936;8679;1.09;5;20.84;104.22;12.00829589;111;0.939;1.279;1.44;0.057610324;189;0.551;2.18;5;47;3090;26;149.6;24;4.34;;;;;;;;
18-24;female;10528;14941;1.42;8;12.99;103.91;6.95463555;142;0.732;0.950;2.30;0.053543939;379;0.274;2.54;7;41;4324;15;239.36;28;3.71;;;;;;;;
55-64;female;2528;3452;1.37;;;100.49;29.11066049;105;0.957;3.042;;;164;0.613;4.75;6;25;1419;7;;8;12.56;;;;;;;;
65+;female;3360;4245;1.26;5;19.93;99.67;23.47920895;109;0.914;2.568;1.50;0.11778563;204;0.489;4.81;9;27;2014;11;149.6;24;4.15;;;;;;;;
55-64;female;2056;2649;1.29;5;19.88;99.38;37.51551325;88;1.129;3.322;1.51;0.188750472;140;0.710;5.29;2;21;1348;5;149.6;22;4.52;;;;;;;;
55-64;female;2544;3319;1.30;3;32.58;97.74;29.44862911;71;1.377;2.139;1.07;0.090388671;115;0.850;3.46;3;16;1828;5;104.76;17;5.75;;;;;;;;
55-64;female;3056;3389;1.11;6;15.95;95.69;28.23546769;79;1.211;2.331;2.19;0.177043376;118;0.811;3.48;;11;1836;5;209.52;11;8.70;;;;;;;;
25-34;female;6836;7228;1.06;2;47.68;95.35;13.19175429;70;1.362;0.968;0.63;0.027670172;121;0.788;1.67;1;34;2556;11;59.84;11;8.67;;;;;;;;
55-64;female;2864;3239;1.13;1;93.41;93.41;28.83914789;68;1.374;2.099;0.37;0.030873726;105;0.890;3.24;2;11;1745;4;34.92;7;13.34;;;;;;;;
25-34;female;5264;6571;1.25;3;31.03;93.10;14.16811496;87;1.070;1.324;1.02;0.045655151;164;0.568;2.50;2;17;2128;11;94.76;12;7.76;;;;;;;;
25-34;female;6480;6571;1.01;6;15.50;93.00;14.15309694;66;1.409;1.004;2.25;0.091310303;116;0.802;1.77;;13;2362;5;209.52;17;5.47;;;;;;;;
35-44;female;5296;5565;1.05;5;18.56;92.80;16.67565139;95;0.977;1.707;1.67;0.08984726;147;0.631;2.64;9;23;2183;13;154.6;15;6.19;;;;;;;;
55-64;female;2808;3152;1.12;4;22.71;90.83;28.81662437;63;1.442;1.999;1.54;0.126903553;101;0.899;3.20;1;12;1780;6;139.68;10;9.08;;;;;;;;
45-54;female;3664;3887;1.06;4;22.19;88.75;22.83251865;82;1.082;2.110;1.46;0.102907126;126;0.704;3.24;1;24;1660;11;129.68;20;4.44;;;;;;;;
18-24;female;8432;10474;1.24;2;43.27;86.54;8.26236395;94;0.921;0.897;0.69;0.019094902;231;0.375;2.21;2;36;2800;12;59.84;15;5.77;;;;;;;;
45-54;female;3440;3737;1.09;4;21.14;84.54;22.6224244;76;1.112;2.034;1.87;0.107037731;114;0.742;3.05;1;16;1895;4;157.68;9;9.39;;;;;;;;
65+;female;1312;1652;1.26;2;38.86;77.73;47.05139272;77;1.009;4.661;0.77;0.121065375;120;0.648;7.26;2;10;932;4;59.84;7;11.10;;;;;;;;
45-54;female;2880;3749;1.30;3;25.83;77.49;20.66951187;64;1.211;1.707;1.22;0.080021339;105;0.738;2.80;5;19;1551;13;94.76;12;6.46;;;;;;;;
45-54;female;3840;3905;1.02;3;25.56;76.68;19.63636364;85;0.902;2.177;1.53;0.076824584;118;0.650;3.02;2;29;1897;12;117.24;10;7.67;;;;;;;;
45-54;female;3440;3814;1.11;3;23.84;71.52;18.75196644;73;0.980;1.914;1.32;0.078657577;120;0.596;3.15;2;43;1616;5;94.76;13;5.50;;;;;;;;
65+;female;1344;2090;1.56;4;17.29;69.16;33.09090909;67;1.032;3.206;1.69;0.19138756;105;0.659;5.02;2;15;952;5;117.18;16;4.32;;;;;;;;
35-44;female;4564;4584;1.00;4;17.20;68.78;15.00501206;78;0.882;1.702;1.96;0.087260035;121;0.568;2.64;3;23;1795;11;134.68;13;5.29;;;;;;;;
25-34;female;5056;5376;1.06;;;67.40;12.53774472;70;0.963;1.302;;;136;0.496;2.53;4;16;1864;14;;10;6.74;;;;;;;;
25-34;female;5785;5801;1.00;4;16.54;66.16;11.40493018;86;0.769;1.483;1.88;0.068953629;131;0.505;2.26;4;30;2414;16;124.68;18;3.68;;;;;;;;
45-54;female;3102;3102;1.00;5;13.20;65.98;21.27069953;73;0.904;2.353;2.49;0.161186331;114;0.579;3.68;2;23;1339;7;164.6;24;2.75;;;;;;;;
65+;female;1248;1833;1.47;2;32.98;65.95;35.97926896;33;1.998;1.800;0.91;0.109110747;59;1.118;3.22;1;9;881;6;59.84;15;4.40;;;;;;;;
55-64;female;2272;2337;1.03;4;16.17;64.69;27.68078733;73;0.886;3.124;2.16;0.171159606;97;0.667;4.15;;9;1578;4;139.68;18;3.59;;;;;;;;
55-64;female;2016;2657;1.32;2;31.93;63.86;24.03462552;66;0.968;2.484;1.17;0.075272864;115;0.555;4.33;3;27;1366;6;74.84;6;10.64;;;;;;;;
35-44;female;4833;4862;1.01;2;31.68;63.36;13.03167421;52;1.218;1.070;0.94;0.041135335;86;0.737;1.77;1;22;2140;18;59.84;4;15.84;;;;;;;;
55-64;female;1960;2217;1.13;5;11.88;59.39;26.78717414;62;0.958;2.797;2.52;0.225529995;77;0.771;3.47;;9;1488;1;149.6;11;5.40;;;;;;;;
45-54;female;2404;2537;1.06;1;59.06;59.06;23.27946393;47;1.257;1.853;0.51;0.039416634;68;0.869;2.68;4;18;1186;1;29.92;9;6.56;;;;;;;;
18-24;female;4960;5684;1.15;1;58.91;58.91;10.36418015;46;1.281;0.809;0.59;0.017593244;66;0.893;1.16;;10;1842;6;34.92;5;11.78;;;;;;;;
25-34;female;4500;4691;1.04;2;28.85;57.70;12.30014922;69;0.836;1.471;1.30;0.042634833;116;0.497;2.47;3;16;1699;10;74.84;19;3.04;;;;;;;;
18-24;female;4752;5085;1.07;;;57.62;11.33136676;40;1.441;0.787;;;61;0.945;1.20;2;16;1752;12;;6;9.60;;;;;;;;
35-44;female;3756;3903;1.04;2;28.75;57.50;14.73225724;58;0.991;1.486;1.13;0.051242634;108;0.532;2.77;3;16;1544;6;64.84;10;5.75;;;;;;;;
18-24;female;4776;5039;1.06;2;26.51;53.01;10.51994443;34;1.559;0.675;1.32;0.039690415;43;1.233;0.85;;20;1665;8;69.84;4;13.25;;;;;;;;
