Edad;Sexo;Alcance;Impresiones;Frecuencia;Resultados;Costo por resultado;Importe gastado (USD);CPM (costo por mil impresiones);Clics en el enlace;CPC (Enlace);CTR (Enlace);ROAS;Tasa de resultados;Clics (todos);CPC (Anuncio);CTR (Anuncio);Comentarios de la publicación;Reacciones a la publicación;Interacción con una publicación;Veces que se compartió la publicación;Valor de conversión de compras;Pagos iniciados;Costo por pago iniciado
35-44;female;52992;67453;1.272.890.248;52;16.22;843.43;1.250.401.888;856;0.98531961;126.903.177;2.02;0.077090715;1626;0.51871684;241.056.736;44;277;23012;128;1702.61;199;423.835.973
35-44;female;42048;53027;1.261.106.355;34;23.29;791.84;1.493.272.013;771;102.702.639;1.453.976.276;1.36;0.064118279;1363;0.58095183;257.038.867;43;226;19689;91;1076.29;144;549.887.049
35-44;female;37280;45775;1.227.870.172;42;17.93;752.98;1.644.959.039;746;100.935.657;1.629.710.541;1.84;0.09175314;1185;0.63542616;258.874.932;23;235;17377;111;1388.13;165;456.351.515
45-54;female;25440;30149;1.185.102.201;40;18.55;742.16;2.461.640.519;635;116.875.591;2.106.205.844;1.78;0.132674384;1079;0.68782206;357.889.151;12;239;13208;81;1321.8;156;47.574.359
45-54;female;23232;30606;1.317.407.025;36;19.76;711.50;2.324.700.198;663;107.314.893;2.166.241.913;1.98;0.117623995;1119;0.63583355;365.614.585;13;177;12484;50;1412.28;130;547.305.956
35-44;female;32416;43161;1.331.472.113;42;16.68;700.62;1.623.265.504;700;100.088.232;1.621.834.527;1.95;0.097310072;1251;0.56004606;289.844.999;31;180;14781;57;1364.12;182;384.954.739
25-34;female;46208;59761;129.330.419;36;19.43;699.64;1.170.726.158;800;0.87454707;1.338.665.685;1.60;0.060239956;1583;0.44196946;264.888.472;41;197;20065;88;1122.12;175;399.792.948
25-34;female;44288;52411;1.183.413.114;45;14.87;669.32;1.277.060.159;649;103.130.971;1.238.289.672;2.21;0.085859839;1118;0.59867621;213.313.999;33;222;18460;162;1479.43;137;488.554.745
45-54;female;24672;29519;1.196.457.523;33;19.48;642.71;2.177.268.368;630;102.017.119;2.134.218.639;1.63;0.111792405;1011;0.63571498;342.491.277;17;201;12625;61;1049.85;117;549.322.948
45-54;female;26176;34170;1.305.394.254;29;20.41;592.02;1.732.559.256;596;0.99331459;1.744.220.076;1.56;0.084869769;1062;0.55745339;310.798.946;24;214;13950;77;921.95;106;558.505.187
25-34;female;41440;55992;1.351.158.301;27;21.68;585.38;1.045.462.831;641;0.91322238;1.144.806.401;1.48;0.048221174;1399;0.41842427;249.857.122;51;185;17405;87;864.85;120;487.812.957
25-34;female;33792;42708;1.263.849.432;39;13.36;521.10;1.220.135.971;530;0.98319938;1.240.985.295;2.37;0.091317786;1049;0.49675469;245.621.429;21;121;12844;53;1233.88;124;420.238.444
25-34;female;31680;41024;1.294.949.495;19;26.32;499.99;1.218.774.376;468;10.683.547;1.140.795.632;1.23;0.046314353;1011;0.49454995;246.441.108;35;142;13860;99;613.48;80;6.249.875
35-44;female;24848;32064;1.290.405.666;21;22.25;467.31;1.457.428.892;410;113.978.049;1.278.692.615;1.41;0.065494012;768;0.60847656;239.520.958;23;142;11413;61;658.32;81;576.925.926
55-64;female;10432;12104;1.160.276.074;27;15.96;430.96;3.560.475.876;393;109.659.033;3.246.860.542;2.06;0.223066755;615;0.70074797;508.096.497;9;95;6132;33;887.84;79;545.518.987
55-64;female;11552;12738;1.102.666.205;19;22.20;421.76;3.311.073.871;391;107.868.182;306.955.566;1.49;0.149159994;632;0.66734903;496.153.242;14;85;6062;27;630.49;81;520.697.024
35-44;female;19888;25171;126.563.757;18;23.25;418.53;1.662.746.812;390;107.315.385;154.940.209;1.44;0.071510866;640;0.65395313;254.260.856;15;140;8534;46;601.56;74;565.581.081
55-64;female;9920;11795;1.189.012.097;20;18.98;379.65;3.218.725.983;366;103.729.161;310.300.975;1.73;0.169563374;596;0.63699451;505.298.855;13;96;5669;30;655.88;68;558.306.955
25-34;female;26592;33454;1.258.047.533;17;21.90;372.38;111.311.054;356;104.601.124;1.064.147.785;1.38;0.050816046;855;0.43553216;255.574.819;23;128;11115;51;513.64;79;471.367.089
45-54;female;10992;13696;1.245.997.089;24;14.74;353.75;2.582.870.911;319;110.893.417;2.329.147.196;2.21;0.175233645;491;0.72046843;358.498.832;12;108;5623;33;783.08;67;527.985.075
25-34;female;20400;26637;1.305.735.294;10;34.02;340.23;1.277.283.478;337;100.958.457;1.265.157.488;1.01;0.037541765;613;0.55502447;230.131.021;13;90;7991;51;344.2;63;540.047.619
35-44;female;17712;23883;1.348.407.859;23;14.61;335.93;1.406.565.339;356;0.9436236;1.490.600.008;2.11;0.09630281;708;0.4744774;29.644.517;15;125;8330;47;708.16;82;409.670.732
35-44;female;15536;16651;1.071.768.795;11;25.02;275.24;1.652.993.814;205;134.263.415;1.231.157.288;1.40;0.066062098;306;0.89947712;183.772.746;6;43;5981;13;384.12;44;625.545.455
35-44;female;14552;15525;1.066.863.661;14;19.21;268.99;1.732.624.799;211;127.483.412;1.359.098.229;1.82;0.090177134;341;0.78882698;219.645.733;6;52;5565;21;488.88;32;84.059.375
35-44;female;14480;15073;1.040.953.039;13;20.40;265.20;1.759.437.405;205;129.365.854;1.360.047.768;1.85;0.086246932;334;0.79401198;22.158.827;6;47;5574;16;489.96;45;589.333.333
45-54;female;10544;12846;1.218.323.217;16;16.07;257.13;200.163.475;214;120.154.206;1.665.888.214;2.05;0.12455239;364;0.7064011;283.356.687;5;70;5222;29;526.2;57;451.105.263
35-44;female;14104;15396;1.091.605.218;9;28.38;255.41;1.658.937.386;192;133.026.042;1.247.077.163;1.30;0.058456742;274;0.93215328;177.968.303;2;36;5498;16;332.28;30;851.366.667
35-44;female;13840;14878;1.075;9;28.35;255.17;1.715.082.672;172;148.354.651;1.156.069.364;1.30;0.060492002;254;10.046.063;170.721.871;2;58;5510;18;332.28;31;823.129.032
55-64;female;8448;10503;1.243.252.841;14;17.98;251.76;2.397.011.191;279;0.90235873;265.638.389;1.76;0.133295249;465;0.54141524;442.730.648;7;81;4971;22;443.88;46;547.300.186
35-44;female;14816;18312;1.235.961.123;15;15.82;237.32;1.295.980.778;239;0.99297071;130.515.509;2.15;0.081913499;424;0.55971698;231.542.158;8;128;7255;65;511.28;47;50.493.617
25-34;female;15440;16866;1.092.357.513;12;19.36;232.33;137.750.504;152;152.848.684;0.901221392;1.95;0.071149057;248;0.93681452;147.041.385;3;27;5529;22;452.04;33;704.030.303
45-54;female;8960;11024;1.230.357.143;14;16.01;224.11;2.032.928.157;214;104.724.299;1.941.219.158;2.00;0.126995646;411;0.54527981;372.822.932;7;83;4293;27;448.88;52;430.980.769
35-44;female;12104;12945;1.069.481.163;11;20.36;223.93;1.729.857.088;180;124.405.556;1.390.498.262;1.72;0.084974894;290;0.77217241;22.402.472;3;39;4582;15;384.12;29;772.172.414
25-34;female;14704;15403;1.047.538.085;2;109.04;218.07;1.415.763.163;167;130.580.838;1.084.204.376;0.32;0.012984484;252;0.86535714;163.604.493;4;39;5355;24;69.84;18;12.115
25-34;female;14368;15766;1.097.299.555;8;27.18;217.43;1.379.106.939;114;19.072.807;0.723074971;1.28;0.050742103;199;109.261.307;126.220.982;2;38;5228;27;279.36;32;67.946.875
65+;female;4224;5095;1.206.202.652;19;11.23;213.41;418.861.629;220;0.97004545;4.317.958.783;3.03;0.372914622;337;0.63326409;661.432.777;1;40;2677;19;646.48;48;444.604.167
25-34;female;13776;14873;1.079.631.243;10;21.32;213.23;1.433.671.754;172;12.397.093;1.156.458.011;1.79;0.067235931;267;0.79861423;179.519.935;5;37;4984;19;382.2;35;609.228.571
45-54;female;9104;9608;1.055.360.281;10;20.88;208.78;2.172.980.849;159;131.308.176;1.654.870.941;1.64;0.104079933;258;0.80922481;268.526.228;3;35;4249;9;343.21;31;673.483.871
45-54;female;8000;8582;107.275;12;17.05;204.55;2.383.477.045;171;119.619.883;1.992.542.531;2.05;0.139827546;262;0.78072519;305.290.142;2;45;4043;11;419.04;28;730.535.714
25-34;female;13880;14997;1.080.475.504;18;11.29;203.25;1.355.271.054;162;125.462.963;1.080.216.043;3.51;0.120024005;260;0.78173077;173.368.007;5;31;4968;31;712.51;40;508.125
45-54;female;8096;8553;1.056.447.628;6;31.70;190.20;2.223.781.129;136;139.852.941;159.008.535;1.10;0.070150824;215;0.88465116;251.373.787;3;30;3750;6;209.52;18;1.056.666.667
25-34;female;14544;17440;1.199.119.912;10;18.97;189.69;1.087.672.018;180;105.383.333;1.032.110.092;1.71;0.05733945;318;0.59650943;18.233.945;13;89;6289;52;324.2;39;486.384.615
45-54;female;7392;8494;1.149.080.087;11;17.19;189.14;2.226.748.293;139;136.071.942;1.636.449.258;2.22;0.129503179;215;0.87972093;253.119.849;4;24;3851;10;420.12;25;75.656
45-54;female;8064;8466;104.985.119;9;20.69;186.19;2.199.267.659;151;123.304.636;1.783.605.008;1.78;0.106307583;236;0.78894068;278.762.107;2;45;3797;16;332.28;26;716.115.385
18-24;female;18240;23459;1.286.129.386;12;15.45;185.40;790.312.373;260;0.71307454;1.108.316.638;1.99;0.051153076;586;0.31638119;249.797.519;7;45;6844;20;369.05;49;378.366.081
45-54;female;7472;7784;1.041.755.889;9;20.38;183.38;2.355.858.171;131;139.984.733;1.682.939.363;1.71;0.115621788;208;0.88163462;2.672.148;1;27;3530;9;314.28;17;1.078.705.882
55-64;female;4032;4930;1.222.718.254;10;18.34;183.36;3.719.269.777;141;130.042.553;2.860.040.568;2.18;0.202839757;244;0.75147541;494.929.006;9;49;2201;16;399.15;33;555.636.364
35-44;female;10792;11430;1.059.117.865;7;25.41;177.90;1.556.443.636;170;104.647.946;1.487.314.086;1.35;0.061242345;229;0.77686248;200.349.956;;49;5412;41;239.44;29;613.453.475
25-34;female;11432;12422;108.659.902;8;22.02;176.16;1.418.129.126;108;163.111.111;0.869425213;1.56;0.064401868;175;100.662.857;140.879.085;4;19;3976;13;274.87;28;629.142.857
25-34;female;13656;15770;1.154.803.749;15;11.65;174.81;1.108.497.146;158;110.639.241;1.001.902.346;2.71;0.095117311;351;0.49803419;222.574.509;17;55;5378;32;473.8;32;54.628.125
35-44;female;10288;11976;116.407.465;6;28.09;168.55;140.739.813;171;0.98567251;1.427.855.711;1.15;0.0501002;297;0.56750842;247.995.992;9;68;4517;32;194.52;27;624.259.259
65+;female;3968;5029;1.267.389.113;13;12.75;165.77;3.296.270.538;166;0.99861112;3.300.855.041;2.40;0.258500696;275;0.60279798;546.828.395;5;32;2442;10;397.96;43;385.510.338
65+;female;3808;4642;1.219.012.605;10;15.74;157.38;3.390.385.882;144;109.292.856;3.102.111.159;2.09;0.215424386;255;0.61718319;549.332.184;3;33;2245;13;329.21;30;524.605.709
18-24;female;14688;18756;1.276.960.784;5;31.34;156.71;8.355.193;188;0.83356383;1.002.345.916;0.93;0.026658136;459;0.34141612;244.721.689;11;59;5556;20;145.62;34;460.911.765
25-34;female;11128;12698;114.108.555;9;17.11;154.00;1.212.810.273;145;106.208.723;1.141.912.112;1.85;0.070877304;251;0.61355637;197.668.924;4;44;5127;20;284.28;32;481.258.276
18-24;female;11520;14931;129.609.375;5;30.46;152.31;1.020.092.425;153;0.9954902;1.024.713.683;1.11;0.033487375;306;0.4977451;204.942.737;6;72;4911;37;169.6;29;525.206.897
45-54;female;6912;8330;1.205.150.463;6;25.20;151.19;1.815.006.002;155;0.97541935;1.860.744.298;1.37;0.072028812;221;0.68411765;265.306.122;6;74;3783;22;207;28;539.964.286
18-24;female;12896;17133;1.328.551.489;4;35.11;140.43;819.646.297;162;0.86685185;0.945543688;0.85;0.023346758;450;0.31206667;262.651.024;5;58;5496;21;119.68;25;56.172
35-44;female;7867;7867;1;3;45.65;136.95;1.740.816.067;115;119.086.957;1.461.802.466;0.76;0.038133977;161;0.85062112;204.652.345;1;21;3342;8;104.76;12;114.125
35-44;female;7912;8403;1.062.057.634;7;18.95;132.63;157.836.487;152;0.87256579;1.808.877.782;1.86;0.083303582;230;0.57665217;27.371.177;5;40;3144;18;246.92;20;66.315
25-34;female;9944;10128;101.850.362;5;25.26;126.28;1.246.840.442;110;1.148;1.086.097.946;1.18;0.049368088;216;0.58462963;213.270.142;9;42;3528;17;149.6;25;50.512
35-44;female;6824;8496;1.245.017.585;5;25.07;125.37;1.475.635.593;88;142.465.909;1.035.781.544;1.27;0.058851224;142;0.88288732;167.137.476;7;28;2984;18;159.6;12;104.475
45-54;female;5624;5968;106.116.643;10;12.40;124.04;2.078.486.571;137;0.90543123;2.295.576.408;2.65;0.167560322;176;0.7047959;294.906.166;2;27;3551;7;329.2;38;326.431.786
25-34;female;7824;9993;1.277.223.926;10;12.28;122.80;1.228.860.202;135;0.90962963;1.350.945.662;2.68;0.100070049;217;0.56589862;217.152.006;8;31;3570;31;329.2;26;472.307.692
35-44;female;6232;6435;1.032.573.813;8;14.61;116.87;1.816.161.616;79;147.936.709;1.227.661.228;2.39;0.124320124;116;10.075;18.026.418;;23;2588;11;279.36;21;55.652.381
35-44;female;5048;6414;1.270.602.219;8;14.60;116.78;1.820.678.961;112;104.266.383;1.746.180.231;2.05;0.124727159;185;0.63123432;288.431.556;7;19;2387;11;239.36;23;50.773.195
55-64;female;3072;3699;1.204.101.563;7;16.58;116.03;3.136.793.728;100;11.603;270.343.336;1.89;0.189240335;159;0.72974843;429.845.904;1;26;1757;10;219.44;15;773.533.333
25-34;female;8816;9108;1.033.121.597;7;16.56;115.95;1.273.089.646;127;0.91301579;1.394.378.568;1.89;0.076855512;216;0.53681947;23.715.415;5;27;3115;9;219.44;24;483.137.521
35-44;female;7416;7904;1.065.803.668;6;19.16;114.95;1.454.326.923;115;0.99956522;1.454.959.514;1.69;0.075910931;165;0.69666667;208.755.061;3;44;3173;19;194.52;17;676.176.471
25-34;female;7104;7729;1.087.978.604;4;28.40;113.61;1.469.918.489;76;149.486.842;0.983309613;1.23;0.051753138;125;0.90888;161.728.555;2;19;2749;15;139.68;23;493.956.522
45-54;female;3576;4321;1.208.333.333;7;16.19;113.36;262.342.969;108;104.961.479;249.942.143;1.94;0.161999537;187;0.60619464;432.770.192;3;25;1890;14;219.44;16;708.489.981
55-64;female;3104;4027;1.297.358.247;3;37.68;113.05;280.730.072;92;122.880.435;2.284.579.091;0.93;0.074497144;139;0.81330935;345.170.102;3;9;2315;2;104.76;17;6.65
45-54;female;4624;4917;1.063.365.052;4;27.41;109.62;2.229.408.176;88;124.568.182;1.789.709.172;1.44;0.081350417;128;0.85640625;260.321.334;3;15;2648;7;157.68;14;7.83
35-44;female;7040;7245;1.029.119.318;3;36.47;109.42;1.510.322.094;99;110.528.117;1.366.459.627;0.82;0.041407867;168;0.6513264;231.884.058;1;26;2680;18;89.76;29;377.320.123
55-64;female;3520;3654;1.038.068.182;6;17.72;106.33;2.909.961.686;83;128.108.434;2.271.483.306;2.28;0.164203612;129;0.82426357;353.037.767;2;16;2127;3;242.52;13;817.923.077
18-24;female;8224;12754;1.550.826.848;4;26.23;104.91;822.574.421;127;0.82607198;0.995766034;1.19;0.03136271;306;0.34284687;239.924.729;6;23;3434;14;124.68;22;476.868.826
25-34;female;7936;8679;1.093.623.992;5;20.84;104.22;1.200.829.589;111;0.93891892;1.278.949.188;1.44;0.057610324;189;0.55142857;217.767.024;5;47;3090;26;149.6;24;43.425
18-24;female;10528;14941;1.419.167.933;8;12.99;103.91;695.463.555;142;0.731755;0.950404926;2.30;0.053543939;379;0.27416678;253.664.413;7;41;4324;15;239.36;28;371.104.321
55-64;female;2528;3452;1.365.506.329;;;100.49;2.911.066.049;105;0.95704762;3.041.714.948;;;164;0.6127439;475.086.906;6;25;1419;7;;8;1.256.125
65+;female;3360;4245;1.263.392.857;5;19.93;99.67;2.347.920.895;109;0.91439672;2.567.726.737;1.50;0.11778563;204;0.48857472;480.565.371;9;27;2014;11;149.6;24;415.288.508
55-64;female;2056;2649;1.288.424.125;5;19.88;99.38;3.751.551.325;88;112.930.221;3.322.008.305;1.51;0.188750472;140;0.7098471;528.501.321;2;21;1348;5;149.6;22;451.720.885
55-64;female;2544;3319;1.304.638.365;3;32.58;97.74;2.944.862.911;71;137.661.972;2.139.198.554;1.07;0.090388671;115;0.84991304;346.489.907;3;16;1828;5;104.76;17;574.941.176
55-64;female;3056;3389;1.108.965.969;6;15.95;95.69;2.823.546.769;79;121.126.582;2.331.071.112;2.19;0.177043376;118;0.8109322;348.185.305;;11;1836;5;209.52;11;869.909.091
25-34;female;6836;7228;1.057.343.476;2;47.68;95.35;1.319.175.429;70;136.214.286;0.968456004;0.63;0.027670172;121;0.78801653;167.404.538;1;34;2556;11;59.84;11;866.818.182
55-64;female;2864;3239;1.130.935.754;1;93.41;93.41;2.883.914.789;68;137.367.647;2.099.413.399;0.37;0.030873726;105;0.88961905;324.174.128;2;11;1745;4;34.92;7;1.334.428.571
25-34;female;5264;6571;1.248.290.274;3;31.03;93.10;1.416.811.496;87;107.009.981;1.323.999.391;1.02;0.045655151;164;0.5676749;249.581.494;2;17;2128;11;94.76;12;775.822.362
25-34;female;6480;6571;101.404.321;6;15.50;93.00;1.415.309.694;66;140.909.091;1.004.413.331;2.25;0.091310303;116;0.80172414;176.533.252;;13;2362;5;209.52;17;547.058.824
35-44;female;5296;5565;1.050.793.051;5;18.56;92.80;1.667.565.139;95;0.97684211;1.707.097.934;1.67;0.08984726;147;0.63129252;264.150.943;9;23;2183;13;154.6;15;618.666.667
55-64;female;2808;3152;1.122.507.123;4;22.71;90.83;2.881.662.437;63;144.174.603;1.998.730.964;1.54;0.126903553;101;0.89930693;320.431.472;1;12;1780;6;139.68;10;9.083
45-54;female;3664;3887;1.060.862.445;4;22.19;88.75;2.283.251.865;82;108.231.707;210.959.609;1.46;0.102907126;126;0.70436508;324.157.448;1;24;1660;11;129.68;20;44.375
18-24;female;8432;10474;1.242.172.676;2;43.27;86.54;826.236.395;94;0.9206383;0.897460378;0.69;0.019094902;231;0.37463203;220.546.114;2;36;2800;12;59.84;15;576.933.333
45-54;female;3440;3737;1.086.337.209;4;21.14;84.54;226.224.244;76;111.236.842;2.033.716.885;1.87;0.107037731;114;0.74157895;305.057.533;1;16;1895;4;157.68;9;939.333.333
65+;female;1312;1652;1.259.146.341;2;38.86;77.73;4.705.139.272;77;100.946.624;4.661.016.949;0.77;0.121065375;120;0.64774084;726.392.252;2;10;932;4;59.84;7;1.110.412.868
45-54;female;2880;3749;1.301.736.111;3;25.83;77.49;2.066.951.187;64;121.078.125;1.707.121.899;1.22;0.080021339;105;0.738;280.074.687;5;19;1551;13;94.76;12;64.575
45-54;female;3840;3905;1.016.927.083;3;25.56;76.68;1.963.636.364;85;0.90211765;2.176.696.543;1.53;0.076824584;118;0.64983051;302.176.697;2;29;1897;12;117.24;10;7.668
45-54;female;3440;3814;110.872.093;3;23.84;71.52;1.875.196.644;73;0.97972603;1.914.001.049;1.32;0.078657577;120;0.596;314.630.309;2;43;1616;5;94.76;13;550.153.846
65+;female;1344;2090;1.555.059.524;4;17.29;69.16;3.309.090.909;67;103.223.881;3.205.741.627;1.69;0.19138756;105;0.65866667;502.392.344;2;15;952;5;117.18;16;43.225
35-44;female;4564;4584;1.004.382.121;4;17.20;68.78;1.500.501.206;78;0.88183302;1.701.570.681;1.96;0.087260035;121;0.56845434;263.961.606;3;23;1795;11;134.68;13;52.909.981
25-34;female;5056;5376;1.063.291.139;;;67.40;1.253.774.472;70;0.96289879;1.302.083.333;;;136;0.49560967;25.297.619;4;16;1864;14;;10;674.029.156
25-34;female;5785;5801;1.002.765.774;4;16.54;66.16;1.140.493.018;86;0.76930233;1.482.503.017;1.88;0.068953629;131;0.50503817;225.823.134;4;30;2414;16;124.68;18;367.555.556
45-54;female;3102;3102;1;5;13.20;65.98;2.127.069.953;73;0.90385904;2.353.320.438;2.49;0.161186331;114;0.57878693;367.504.836;2;23;1339;7;164.6;24;274.923.791
